id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
60626564,,20000,20000,20000.0, 36 months,  5.32%,602.3,A,A1,Registered Nurse,7 years,RENT,130000.0,Not Verified,Sep-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60626564,,debt_consolidation,Debt consolidation,913xx,CA,6.47,0,May-1994,790,794,0,,,5,0,18834,22.3%,11,w,0.0,0.0,21511.4565503128,21511.46,20000.0,1511.46,0.0,0.0,0.0,Oct-2017,7062.17,,Aug-2020,809,805,0,,1,Individual,,,,0,0,31555,,,,,,,,,,,,84300,,,,0,6311,65466.0,22.3,0,0,225.0,256,28,28,0,28.0,,,,0,4,4,4,5,6,4,5.0,4,5,0.0,0,0,0,100.0,0.0,0,0,107529,31555,84300,23229,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
58672463,,5000,5000,5000.0, 36 months, 12.69%,167.73,C,C2,Specialist,5 years,OWN,38000.0,Source Verified,Aug-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=58672463,,debt_consolidation,Debt consolidation,765xx,TX,19.39,0,Mar-2011,710,714,0,,,4,0,4998,27.5%,7,w,0.0,0.0,5667.363641020699,5667.36,5000.0,667.36,0.0,0.0,0.0,Mar-2017,1051.74,,Mar-2020,779,775,0,,1,Individual,,,,0,0,26490,,,,,,,,,,,,18200,,,,4,6623,13202.0,27.5,0,0,53.0,31,4,4,0,4.0,,12.0,,0,3,3,3,3,4,3,3.0,3,4,0.0,0,0,2,100.0,33.3,0,0,43017,26490,18200,24817,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
56119683,,7200,7200,7200.0, 36 months, 11.53%,237.53,B,B5,Financial Administrator,3 years,MORTGAGE,55000.0,Not Verified,Jul-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=56119683,,debt_consolidation,Debt consolidation,010xx,MA,13.03,1,Jul-2005,710,714,1,20.0,,14,0,4387,21.3%,32,f,0.0,0.0,7445.21,7445.21,7200.0,245.21,0.0,0.0,0.0,Oct-2015,6974.76,,Oct-2018,744,740,0,20.0,1,Individual,,,,0,0,140795,,,,,,,,,,,,20600,,,,6,10057,11093.0,22.4,0,0,97.0,120,24,1,3,61.0,,2.0,,0,3,4,5,11,11,10,18.0,4,14,0.0,0,1,4,87.5,0.0,0,0,171639,20892,14300,20436,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
66410614,,21475,21475,21475.0, 60 months, 19.99%,568.84,E,E4,Registered Nurse,4 years,MORTGAGE,51133.0,Verified,Dec-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66410614,,other,Other,346xx,FL,25.67,0,Feb-1997,715,719,0,46.0,,14,0,21095,80.2%,25,w,0.0,0.0,16533.22,16533.22,7786.27,8746.95,0.0,0.0,0.0,May-2018,568.84,,Oct-2019,579,575,0,,1,Individual,,,,0,0,181708,,,,,,,,,,,,26300,,,,4,13978,339.0,97.2,0,0,66.0,226,12,12,2,92.0,,12.0,,0,1,3,1,2,17,4,6.0,3,14,0.0,0,0,2,95.8,100.0,0,0,208453,125612,12200,94153,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
44563840,,20950,20950,20950.0, 60 months, 19.52%,549.47,E,E3,Pharmacy Technician,8 years,OWN,42000.0,Source Verified,Apr-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=44563840,,debt_consolidation,Debt consolidation,730xx,OK,24.91,0,Feb-1989,665,669,1,28.0,65.0,15,3,16379,69.1%,19,f,0.0,0.0,6245.03,6245.03,1304.13,2014.95,0.0,2925.95,526.6710000019,Oct-2015,549.47,,Jul-2020,509,505,0,28.0,1,Individual,,,,0,145,68938,,,,,,,,,,,,23700,,,,5,4596,5697.0,62.5,0,0,139.0,313,2,2,0,2.0,,2.0,,3,7,10,8,8,4,12,15.0,10,15,0.0,0,0,4,84.2,50.0,1,0,62174,68938,15200,38474,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
47614152,,12500,12500,12500.0, 36 months,  6.00%,389.49,B,B2,Physical Therapist,6 years,RENT,77000.0,Not Verified,May-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=47614152,,credit_card,Credit card refinancing,211xx,MD,37.25,0,Aug-2000,720,724,0,,,19,0,14633,75.4%,46,w,0.0,0.0,14280.209975261201,14280.21,12500.0,1780.21,0.0,0.0,0.0,May-2018,287.51,,Mar-2020,704,700,0,,1,Individual,,,,0,0,236633,,,,,,,,,,,,19400,,,,1,12454,341.0,95.9,0,0,176.0,174,40,4,0,109.0,,,,0,3,9,3,4,34,9,12.0,9,19,0.0,0,0,1,100.0,100.0,0,0,253820,236633,8400,234420,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
59602615,,17775,17775,17775.0, 60 months, 17.57%,447.23,D,D4,Dealer,10+ years,MORTGAGE,65000.0,Verified,Sep-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59602615,,debt_consolidation,Debt consolidation,890xx,NV,17.85,0,Jul-2004,685,689,1,77.0,86.0,5,1,2621,43.7%,11,f,0.0,0.0,22538.3918697167,22538.39,17775.0,4763.39,0.0,0.0,0.0,May-2017,13741.27,,Sep-2019,649,645,0,80.0,1,Individual,,,,0,0,50942,,,,,,,,,,,,6000,,,,1,10188,983.0,50.8,0,0,134.0,112,23,23,1,23.0,,3.0,80.0,1,1,2,1,3,5,2,5.0,2,5,0.0,0,0,0,81.8,0.0,1,0,64034,50942,2000,58034,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
59262823,,10000,10000,10000.0, 36 months,  8.18%,314.2,B,B1,senior dispatcher,10+ years,MORTGAGE,47000.0,Not Verified,Sep-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59262823,,credit_card,Credit card refinancing,207xx,MD,16.01,0,Mar-1997,675,679,0,19.0,49.0,13,1,7782,64%,40,f,0.0,0.0,2816.44,2816.44,2275.65,540.79,0.0,0.0,0.0,Jun-2016,314.2,,Jul-2016,664,660,0,20.0,1,Individual,,,,0,0,148138,,,,,,,,,,,,12100,,,,3,11395,1157.0,76.0,0,0,135.0,221,12,8,3,13.0,47.0,8.0,47.0,1,7,11,17,22,7,11,30.0,12,13,,0,0,2,83.0,28.6,0,0,167926,13551,8100,6000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
50426290,,24000,24000,24000.0, 36 months,  5.32%,722.76,A,A1,Regional sales Manager,6 years,OWN,115000.0,Source Verified,Jun-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=50426290,,credit_card,Credit card refinancing,786xx,TX,20.68,0,May-1998,710,714,0,52.0,,20,0,52283,59.1%,44,w,0.0,0.0,26012.065607353998,26012.07,24000.0,2012.07,0.0,0.0,0.0,Jun-2018,722.56,,Aug-2020,554,550,0,,1,Individual,,,,0,0,220259,,,,,,,,,,,,88500,,,,2,12237,28117.0,65.0,0,0,142.0,204,17,17,1,17.0,,9.0,52.0,0,8,8,12,17,6,17,35.0,8,20,0.0,0,0,0,97.7,16.7,0,0,292300,55488,80400,18846,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
55931192,,5600,5600,5600.0, 36 months,  8.18%,175.95,B,B1,driver,4 years,MORTGAGE,50000.0,Not Verified,Jul-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=55931192,,home_improvement,Home improvement,484xx,MI,9.48,0,Aug-2001,705,709,0,,118.0,5,1,0,0%,11,w,0.0,0.0,6088.75,6088.75,5600.0,488.75,0.0,0.0,0.0,Oct-2016,3627.99,,Dec-2019,749,745,0,,1,Individual,,,,0,0,104856,,,,,,,,,,,,4400,,,,5,20971,4400.0,0.0,0,0,142.0,88,14,14,2,14.0,,15.0,,0,0,0,3,3,4,3,5.0,0,5,0.0,0,0,0,100.0,0.0,1,0,116357,18850,4400,23217,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
